mouse_id,condition,component,position
11544,refeeding_chow,2,middle_ventricle
11544,refeeding_chow,4,middle_ventricle
11544,refeeding_chow,7,middle_ventricle
11544,refeeding_chow,8,middle_ventricle
11544,refeeding_chow,9,middle_ventricle
11544,refeeding_chow,10,middle_ventricle
11544,refeeding_chow,15,middle_ventricle
11544,refeeding_chow,20,middle_ventricle
11544,refeeding_chow,22,middle_ventricle
11544,refeeding_chow,25,middle_ventricle
11544,refeeding_chow,28,middle_ventricle
11544,refeeding_chow,32,middle_ventricle
11544,refeeding_chow,36,middle_ventricle
11544,refeeding_chow,37,middle_ventricle
11544,refeeding_chow,40,middle_ventricle
11544,refeeding_chow,41,middle_ventricle
11544,refeeding_chow,42,middle_ventricle
11544,refeeding_chow,43,middle_ventricle
11544,refeeding_chow,81,middle_ventricle
11544,refeeding_chow,1,middle_tissue
11544,refeeding_chow,3,middle_tissue
11544,refeeding_chow,5,middle_tissue
11544,refeeding_chow,24,middle_tissue
11544,refeeding_chow,26,middle_tissue
11544,refeeding_chow,27,middle_tissue
11544,refeeding_chow,29,middle_tissue
11544,refeeding_chow,33,middle_tissue
11544,refeeding_chow,50,middle_tissue
11544,refeeding_chow,51,middle_tissue
11544,refeeding_chow,52,middle_tissue
11544,refeeding_chow,53,middle_tissue
11544,refeeding_chow,54,middle_tissue
11544,refeeding_chow,59,middle_tissue
11544,refeeding_chow,61,middle_tissue
11544,refeeding_chow,74,middle_tissue
11544,refeeding_chow,80,middle_tissue
11544,refeeding_HFD,18,middle_ventricle
11544,refeeding_HFD,40,middle_ventricle
11544,refeeding_HFD,41,middle_ventricle
11544,refeeding_HFD,49,middle_ventricle
11544,refeeding_HFD,50,middle_ventricle
11544,refeeding_HFD,1,middle_tissue
11544,refeeding_HFD,5,middle_tissue
11544,refeeding_HFD,21,middle_tissue
11544,refeeding_HFD,22,middle_tissue
11544,refeeding_HFD,25,middle_tissue
11544,refeeding_HFD,26,middle_tissue
11544,refeeding_HFD,27,middle_tissue
11544,refeeding_HFD,44,middle_tissue
11544,refeeding_HFD,52,middle_tissue
11544,refeeding_HFD,55,middle_tissue
11544,refeeding_HFD,64,middle_tissue
11548,refeeding_chow,1,middle_ventricle
11548,refeeding_chow,4,middle_ventricle
11548,refeeding_chow,20,middle_ventricle
11548,refeeding_chow,24,middle_ventricle
11548,refeeding_chow,33,middle_ventricle
11548,refeeding_chow,34,middle_ventricle
11548,refeeding_chow,38,middle_ventricle
11548,refeeding_chow,3,middle_tissue
11548,refeeding_chow,25,middle_tissue
11548,refeeding_chow,26,middle_tissue
11548,refeeding_chow,29,middle_tissue
11548,refeeding_chow,35,middle_tissue
11548,refeeding_HFD,1,middle_ventricle
